owner,name,full_name,description,language,stars,days_since_last_commit,pushed_at,html_url
"django-commons","django-simple-history","django-commons/django-simple-history","Store model history and view/revert changes from admin site.","Python",2345,"1 day","2025-06-20T20:21:22+00:00","https://github.com/django-commons/django-simple-history"
"andrewgodwin","django-hatchway","andrewgodwin/django-hatchway","An unsurprising Django API framework","Python",154,"452 days","2024-03-27T08:05:59+00:00","https://github.com/andrewgodwin/django-hatchway"
"readthedocs-examples","awesome-read-the-docs","readthedocs-examples/awesome-read-the-docs"," A curated list of awesome Read the Docs projects","",176,"368 days","2024-06-19T11:12:03+00:00","https://github.com/readthedocs-examples/awesome-read-the-docs"
"astral-sh","ruff","astral-sh/ruff","An extremely fast Python linter and code formatter, written in Rust.","Rust",40236,"Today","2025-06-22T18:19:38+00:00","https://github.com/astral-sh/ruff"
"cldellow","datasette-scraper","cldellow/datasette-scraper","Add website scraping abilities to Datasette","Python",62,"840 days","2023-03-04T22:08:22+00:00","https://github.com/cldellow/datasette-scraper"
"theskumar","python-dotenv","theskumar/python-dotenv","Reads key-value pairs from a .env file and can set them as environment variables. It helps in developing applications following the 12-factor principles.","Python",8194,"23 days","2025-05-30T16:53:03+00:00","https://github.com/theskumar/python-dotenv"
"django-crispy-forms","django-crispy-forms","django-crispy-forms/django-crispy-forms","The best way to have DRY Django forms. The app provides a tag and filter that lets you quickly render forms in a div format while providing an enormous amount of capability to configure and control the rendered HTML.","Python",5109,"15 days","2025-06-07T19:15:56+00:00","https://github.com/django-crispy-forms/django-crispy-forms"
"FiloSottile","mostly-harmless","FiloSottile/mostly-harmless","A bag of various unrelated projects with varying levels of serviceability and destructiveness.","JavaScript",288,"6 days","2025-06-16T14:08:27+00:00","https://github.com/FiloSottile/mostly-harmless"
"travisbrown","unsuspensions","travisbrown/unsuspensions","Elon Musk's suspension reversals","",33,"600 days","2023-10-31T10:05:38+00:00","https://github.com/travisbrown/unsuspensions"
"Lenders-Cooperative","django-migration-snapshots","Lenders-Cooperative/django-migration-snapshots","Create migration history snapshots for your Django project","Python",13,"926 days","2022-12-09T00:22:11+00:00","https://github.com/Lenders-Cooperative/django-migration-snapshots"
